identity_id,platform,direct_group,parent_group,effective_privilege,is_nested_admin
ID0001,AD,GG-Legal-Staff,,standard,False
ID0001,AD,GG-DLP-Policy,GG-Legal-Staff,standard,False
ID0001,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0001,Okta,Slack,,standard,False
ID0002,AD,GG-Legal-Staff,,standard,False
ID0002,AD,GG-DLP-Policy,GG-Legal-Staff,standard,False
ID0002,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0002,Okta,Slack,,standard,False
ID0003,AD,GG-Dev-Staff,,standard,False
ID0003,AD,GG-Git-Users,GG-Dev-Staff,standard,False
ID0003,AD,GG-VPN-Access,,standard,False
ID0003,AWS,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,,standard,False
ID0003,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0003,AWS,arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess,,standard,False
ID0003,Okta,GitHub Enterprise,,standard,False
ID0003,Okta,AWS SSO,,standard,False
ID0003,Okta,Jira,,standard,False
ID0003,Okta,Slack,,standard,False
ID0004,AD,GG-Finance-Staff,,standard,False
ID0004,AD,GG-SAP-Users,GG-Finance-Staff,standard,False
ID0004,AD,GG-ReadOnly-FS,,limited,False
ID0004,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0004,AWS,arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess,,standard,False
ID0004,Okta,Workday,,standard,False
ID0004,Okta,Slack,,standard,False
ID0005,AD,GG-Legal-Staff,,standard,False
ID0005,AD,GG-DLP-Policy,GG-Legal-Staff,standard,False
ID0005,AWS,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,,standard,False
ID0005,Okta,Slack,,standard,False
ID0006,AD,GG-IT-Staff,GG-Infra-Ops,standard,False
ID0006,AD,GG-Infra-Ops,GG-Domain-Admins,elevated,True
ID0006,AD,GG-ServiceDesk,GG-Infra-Ops,standard,False
ID0006,AD,GG-Domain-Admins,,admin,True
ID0006,AWS,arn:aws:iam::aws:policy/AdministratorAccess,,admin,True
ID0006,Okta,AWS SSO,,standard,False
ID0006,Okta,GitHub Enterprise,,standard,False
