username,Active Directory,AWS IAM,Okta,ad_effective_privilege,ad_direct_privilege,ad_inherited_privilege,aws_effective_privilege,aws_direct_privilege,aws_inherited_privilege,okta_effective_privilege,okta_direct_privilege,okta_inherited_privilege
allison.hill,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
david.guzman,User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
caitlin.henderson,User,User,User,GG-Dev-Staff,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access",GG-Dev-Staff,arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",None,GitHub Enterprise,"GitHub Enterprise, AWS SSO, Jira, Slack, Confluence",None
renee.blair,User,User,User,GG-Finance-Staff,"GG-Finance-Staff, GG-SAP-Users, GG-ReadOnly-FS",GG-Finance-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess",None,Workday,"SAP S4HANA, Workday, Slack, Concur",None
michele.williams,Power User,User,User,GG-Legal-Staff,"GG-Legal-Staff, GG-DLP-Policy",GG-Legal-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Slack,"SharePoint, Slack, DocuSign, Relativity",None
roy.martin,Admin,Admin,Admin,GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins","GG-Infra-Ops, GG-Domain-Admins",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,None,Okta Admin Console,"AWS SSO, GitHub Enterprise, ServiceNow, Slack, CyberArk, Okta Admin Console",None
william.bowman,User,User,User,GG-Finance-Staff,"GG-Finance-Staff, GG-SAP-Users, GG-ReadOnly-FS",GG-Finance-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,"arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess",None,Workday,"SAP S4HANA, Workday, Slack, Concur",None
austin.gentry,User,User,User,GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
nicole.patterson,User,User,User,GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Workday,"Workday, Slack, ServiceNow, BambooHR",None
rebecca.henderson,Power User,User,User,GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,None,Salesforce,"Salesforce, Slack, Zoom, HubSpot",None
